edge_no,city_a,city_b,cost,region_a,region_b,source_status,visual_status,notes
37,Essen,Dortmund,4,red,red,imported_from_board-game-networks,pending,,
38,Essen,Düsseldorf,2,red,red,imported_from_board-game-networks,pending,,
39,Dortmund,Kassel,18,red,red,imported_from_board-game-networks,pending,,
40,Dortmund,Frankfurt am Main,20,red,blue,imported_from_board-game-networks,pending,,
41,Dortmund,Köln,10,red,blue,imported_from_board-game-networks,pending,,
42,Kassel,Erfurt,15,red,yellow,imported_from_board-game-networks,pending,,
43,Kassel,Fulda,8,red,yellow,imported_from_board-game-networks,pending,,
44,Kassel,Frankfurt am Main,13,red,blue,imported_from_board-game-networks,pending,,
45,Düsseldorf,Köln,4,red,blue,imported_from_board-game-networks,pending,,
46,Düsseldorf,Aachen,9,red,blue,imported_from_board-game-networks,pending,,
47,Halle,Leipzig,0,yellow,yellow,imported_from_board-game-networks,pending,,
48,Halle,Erfurt,6,yellow,yellow,imported_from_board-game-networks,pending,,
49,Leipzig,Dresden,13,yellow,yellow,imported_from_board-game-networks,pending,,
50,Erfurt,Dresden,19,yellow,yellow,imported_from_board-game-networks,pending,,
51,Erfurt,Nürnberg,21,yellow,yellow,imported_from_board-game-networks,pending,,
52,Erfurt,Fulda,13,yellow,yellow,imported_from_board-game-networks,pending,,
53,Fulda,Würzburg,11,yellow,yellow,imported_from_board-game-networks,pending,,
54,Fulda,Frankfurt am Main,8,yellow,blue,imported_from_board-game-networks,pending,,
55,Würzburg,Frankfurt am Main,13,yellow,blue,imported_from_board-game-networks,pending,,
56,Würzburg,Nürnberg,8,yellow,yellow,imported_from_board-game-networks,pending,,
57,Würzburg,Augsburg,19,yellow,purple,imported_from_board-game-networks,pending,,
58,Würzburg,Stuttgart,12,yellow,purple,imported_from_board-game-networks,pending,,
59,Würzburg,Mannheim,10,yellow,blue,imported_from_board-game-networks,pending,,
60,Nürnberg,Regensburg,12,yellow,purple,imported_from_board-game-networks,pending,,
61,Nürnberg,Augsburg,18,yellow,purple,imported_from_board-game-networks,pending,,
62,Aachen,Köln,7,blue,blue,imported_from_board-game-networks,pending,,
63,Aachen,Trier,19,blue,blue,imported_from_board-game-networks,pending,,
64,Köln,Wiesbaden,21,blue,blue,imported_from_board-game-networks,pending,,
65,Köln,Trier,20,blue,blue,imported_from_board-game-networks,pending,,
66,Trier,Wiesbaden,18,blue,blue,imported_from_board-game-networks,pending,,
67,Trier,Saarbrücken,11,blue,blue,imported_from_board-game-networks,pending,,
68,Wiesbaden,Frankfurt am Main,0,blue,blue,imported_from_board-game-networks,pending,,
69,Wiesbaden,Mannheim,11,blue,blue,imported_from_board-game-networks,pending,,
70,Wiesbaden,Saarbrücken,10,blue,blue,imported_from_board-game-networks,pending,,
71,Saarbrücken,Mannheim,11,blue,blue,imported_from_board-game-networks,pending,,
72,Saarbrücken,Stuttgart,17,blue,purple,imported_from_board-game-networks,pending,,
73,Mannheim,Stuttgart,6,blue,purple,imported_from_board-game-networks,pending,,
74,Stuttgart,Augsburg,15,purple,purple,imported_from_board-game-networks,pending,,
75,Stuttgart,Konstanz,16,purple,purple,imported_from_board-game-networks,pending,,
76,Stuttgart,Freiburg,16,purple,purple,imported_from_board-game-networks,pending,,
77,Augsburg,Regensburg,13,purple,purple,imported_from_board-game-networks,pending,,
78,Augsburg,München,6,purple,purple,imported_from_board-game-networks,pending,,
79,Augsburg,Konstanz,17,purple,purple,imported_from_board-game-networks,pending,,
80,Regensburg,Passau,12,purple,purple,imported_from_board-game-networks,pending,,
81,Regensburg,München,10,purple,purple,imported_from_board-game-networks,pending,,
82,Freiburg,Konstanz,14,purple,purple,imported_from_board-game-networks,pending,,
83,München,Passau,14,purple,purple,imported_from_board-game-networks,pending,,
